instance,ea,vns,gsr
LGF-Berlin-100-80000-1-ea-bitVector-high,0.944829055642472,1,0.993715279648967
LGF-Berlin-100-80000-1-ea-bitVector-low,0.881019762490043,1,0.930275457068468
LGF-Berlin-100-80000-1-greedy-bitVector-high,0.934315257969026,1,0.954199348225475
LGF-Berlin-100-80000-1-greedy-bitVector-low,0.893198329237796,1,0.920077496091594
LGF-Berlin-100-80000-1-gsr-bitVector-high,0.937816876206925,1,0.856838587168371
LGF-Berlin-100-80000-1-gsr-bitVector-low,0.906350681350267,1,0.809517969056925
LGF-Berlin-100-80000-1-random1-bitVector-high,0.950976139334245,1,0.886213976176203
LGF-Berlin-100-80000-1-random1-bitVector-low,0.912970356161311,1,0.832246692059481
LGF-Berlin-100-80000-1-random2-bitVector-high,0.949654217870865,1,0.888077846671299
LGF-Berlin-100-80000-1-random2-bitVector-low,0.891037946964371,1,0.891802645019745
LGF-Berlin-100-80000-2-ea-bitVector-high,0.959252496023422,1,0.954240401743533
LGF-Berlin-100-80000-2-ea-bitVector-low,0.98850084476845,1,0.985132740449405
LGF-Berlin-100-80000-2-greedy-bitVector-high,0.95330472809343,1,0.883072290813965
LGF-Berlin-100-80000-2-greedy-bitVector-low,0.91962177552782,1,0.915856151171268
LGF-Berlin-100-80000-2-gsr-bitVector-high,0.927745270395537,1,0.775616992681647
LGF-Berlin-100-80000-2-gsr-bitVector-low,0.929489728084645,1,0.644551726572429
LGF-Berlin-100-80000-2-random1-bitVector-high,0.909949581203943,1,0.837197030153128
LGF-Berlin-100-80000-2-random1-bitVector-low,0.932537265640135,1,0.881538307500841
LGF-Berlin-100-80000-2-random2-bitVector-high,0.908331578639627,1,0.896620517283321
LGF-Berlin-100-80000-2-random2-bitVector-low,0.912457797876761,1,0.91633720263763
LGF-Berlin-100-80000-3-ea-bitVector-high,0.988380547190645,1,0.974939120138753
LGF-Berlin-100-80000-3-ea-bitVector-low,0.95683794559808,1,0.989398798061377
LGF-Berlin-100-80000-3-greedy-bitVector-high,0.889259908220778,1,0.962266126138439
LGF-Berlin-100-80000-3-greedy-bitVector-low,0.90077592215856,1,0.944704203693658
LGF-Berlin-100-80000-3-gsr-bitVector-high,0.984614336132572,1,0.987150081919573
LGF-Berlin-100-80000-3-gsr-bitVector-low,0.991453128158282,0.999709848856764,1
LGF-Berlin-100-80000-3-random1-bitVector-high,0.889815551607946,1,0.918144592847058
LGF-Berlin-100-80000-3-random1-bitVector-low,0.881274577318727,1,0.893004461925448
LGF-Berlin-100-80000-3-random2-bitVector-high,0.886830071664129,1,0.928484159438776
LGF-Berlin-100-80000-3-random2-bitVector-low,0.89892223627437,1,0.910825908392368
LGF-Berlin-150-80000-1-ea-bitVector-high,0.930250938706934,1,0.910673014770917
LGF-Berlin-150-80000-1-ea-bitVector-low,0.916803782997545,1,0.936327016584079
LGF-Berlin-150-80000-1-greedy-bitVector-high,0.929171249599552,1,0.925675140841207
LGF-Berlin-150-80000-1-greedy-bitVector-low,0.907173312990359,1,0.898724445999741
LGF-Berlin-150-80000-1-gsr-bitVector-high,0.927143774882304,1,0.890598896630322
