instance,ea,vns
LGF-Berlin-100-80000-1-bitVector-none,0.880567685589517,1
LGF-Berlin-100-80000-2-bitVector-none,0.879609970905087,1
LGF-Berlin-100-80000-3-bitVector-none,0.847333189375945,1
LGF-Berlin-150-80000-1-bitVector-none,0.900103959928173,1
LGF-Berlin-150-80000-2-bitVector-none,0.985284708893154,1
LGF-Berlin-150-80000-3-bitVector-none,0.970375722543352,1
LGF-Berlin-50-80000-1-bitVector-none,0.989933265467707,1
LGF-Berlin-50-80000-2-bitVector-none,0.919645524245742,1
LGF-Berlin-50-80000-3-bitVector-none,0.949695121951218,1
LGF-brazil58-gen4-45.oplib-11428-bitVector-none,0.980082931899722,1
LGF-gr120-gen4-85.oplib-5901-bitVector-none,0.993359568164157,1
LGF-gr48-gen4-80.oplib-4037-bitVector-none,1,0.995548718479066
LGF-hk48-gen4-80.oplib-9169-bitVector-none,0.991760685567328,1
LGF-Leipzig-100-80000-1-bitVector-none,0.978975265017668,1
LGF-Leipzig-100-80000-2-bitVector-none,0.982907488986784,1
LGF-Leipzig-100-80000-3-bitVector-none,0.979210483740495,1
LGF-Leipzig-150-80000-1-bitVector-none,0.952540965038133,1
LGF-Leipzig-150-80000-2-bitVector-none,0.942913385826772,1
LGF-Leipzig-150-80000-3-bitVector-none,0.965306900495616,1
LGF-Leipzig-50-80000-1-bitVector-none,1,1
LGF-Leipzig-50-80000-2-bitVector-none,1,1
LGF-Leipzig-50-80000-3-bitVector-none,0.997736400146038,1
mean,0.958515601081028,0.999797669021776
