instance,ea,vns,opt,maxTime
LGF-Berlin-100-80000-1-evaluation-none,0.198717857142857,0.228114285714286,500,1e+06
LGF-Berlin-100-80000-2-evaluation-none,0.338052830188679,0.387901886792453,500,1e+06
LGF-Berlin-100-80000-3-evaluation-none,0.213201535508637,0.254767754318618,500,1e+06
LGF-Berlin-150-80000-1-evaluation-none,0.211328467153285,0.25569099756691,500,1e+06
LGF-Berlin-150-80000-2-evaluation-none,0.221882659713168,0.240067796610169,500,1e+06
LGF-Berlin-150-80000-3-evaluation-none,0.241011435832274,0.266264294790343,500,1e+06
LGF-Berlin-50-80000-1-evaluation-none,0.254053846153846,0.257176923076923,500,1e+06
LGF-Berlin-50-80000-2-evaluation-none,0.266961403508772,0.290645614035088,500,1e+06
LGF-Berlin-50-80000-3-evaluation-none,0.341438461538461,0.360815384615385,500,1e+06
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.68890791830885,0.709402364743819,500,1e+06
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.959824083417423,0.965467204843592,500,1e+06
LGF-gr48-gen4-80.oplib-4037-evaluation-none,0.939523645743766,0.939263972484953,500,1e+06
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.8964135855546,0.902319002579536,500,1e+06
LGF-Leipzig-100-80000-1-evaluation-none,0.850702495201536,0.876560460652591,500,1e+06
LGF-Leipzig-100-80000-2-evaluation-none,0.809209964412812,0.823957295373666,500,1e+06
LGF-Leipzig-100-80000-3-evaluation-none,0.877469158878505,0.900631775700935,500,1e+06
LGF-Leipzig-150-80000-1-evaluation-none,0.716198614318707,0.764750577367205,500,1e+06
LGF-Leipzig-150-80000-2-evaluation-none,0.661964994165694,0.723906651108518,500,1e+06
LGF-Leipzig-150-80000-3-evaluation-none,0.729393316195373,0.765714652956298,500,1e+06
LGF-Leipzig-50-80000-1-evaluation-none,0.990768115942029,0.990768115942029,500,1e+06
LGF-Leipzig-50-80000-2-evaluation-none,0.973487719298246,0.973487719298246,500,1e+06
LGF-Leipzig-50-80000-3-evaluation-none,0.947321428571428,0.9481,500,1e+06
mean,0.60581061530677,0.628444305935071,500,1e+06
