instance,ea,vns
LGF-Berlin-100-80000-1-evaluation-none,0.871132890781561,1
LGF-Berlin-100-80000-2-evaluation-none,0.87149055392338,1
LGF-Berlin-100-80000-3-evaluation-none,0.836846625581991,1
LGF-Berlin-150-80000-1-evaluation-none,0.826499443328988,1
LGF-Berlin-150-80000-2-evaluation-none,0.924249994569113,1
LGF-Berlin-150-80000-3-evaluation-none,0.905158673347649,1
LGF-Berlin-50-80000-1-evaluation-none,0.987856309634193,1
LGF-Berlin-50-80000-2-evaluation-none,0.918511722239659,1
LGF-Berlin-50-80000-3-evaluation-none,0.946296849017181,1
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.971110264846142,1
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.994155035616064,1
LGF-gr48-gen4-80.oplib-4037-evaluation-none,1,0.999723611789879
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.993455289085065,1
LGF-Leipzig-100-80000-1-evaluation-none,0.970500648144905,1
LGF-Leipzig-100-80000-2-evaluation-none,0.982101826097472,1
LGF-Leipzig-100-80000-3-evaluation-none,0.974281812559408,1
LGF-Leipzig-150-80000-1-evaluation-none,0.936512682062107,1
LGF-Leipzig-150-80000-2-evaluation-none,0.914434192795477,1
LGF-Leipzig-150-80000-3-evaluation-none,0.952565441159191,1
LGF-Leipzig-50-80000-1-evaluation-none,1,1
LGF-Leipzig-50-80000-2-evaluation-none,1,1
LGF-Leipzig-50-80000-3-evaluation-none,0.99917880874531,1
mean,0.944379048342494,0.99998743689954
