instance,gsr,vns,opt,maxTime
LGF-Berlin-100-80000-1-bitVector-none,0.173140900195695,0.205503913894325,73,83972
LGF-Berlin-100-80000-2-bitVector-none,0.231566337226715,0.377118897873615,63,336013
LGF-Berlin-100-80000-3-bitVector-none,0.185045010948609,0.24389716417507,71,211605
LGF-Berlin-150-80000-1-bitVector-none,0.171643441716435,0.230745410307454,55,592999
LGF-Berlin-150-80000-2-bitVector-none,0.195258978309826,0.218869266326893,55,777594
LGF-Berlin-150-80000-3-bitVector-none,0.219844401346441,0.237455137207695,57,413105
LGF-Berlin-50-80000-1-bitVector-none,0.224522845575477,0.218681318681319,133,12687
LGF-Berlin-50-80000-2-bitVector-none,0.25933275812482,0.252487776819097,122,21798
LGF-Berlin-50-80000-3-bitVector-none,0.284070260448214,0.320563294972744,127,33020
LGF-brazil58-gen4-45.oplib-11428-bitVector-none,0.628016294611562,0.686507874690387,92,145005
LGF-gr120-gen4-85.oplib-5901-bitVector-none,0.821685870509,0.941211210976306,43,1e+06
LGF-gr48-gen4-80.oplib-4037-bitVector-none,0.908004596555797,0.923180463030673,107,60734
LGF-hk48-gen4-80.oplib-9169-bitVector-none,0.868167583046061,0.89249568105264,109,61886
LGF-Leipzig-100-80000-1-bitVector-none,0.767001618305671,0.851304053291182,51,848902
LGF-Leipzig-100-80000-2-bitVector-none,0.664590747330961,0.807366548042705,50,798119
LGF-Leipzig-100-80000-3-bitVector-none,0.780814671133839,0.869687885734438,53,860794
LGF-Leipzig-150-80000-1-bitVector-none,0.506543494996151,0.728197514571649,42,1e+06
LGF-Leipzig-150-80000-2-bitVector-none,0.485330888481414,0.677446241040173,42,1e+06
LGF-Leipzig-150-80000-3-bitVector-none,0.560515528381852,0.728965469325366,37,1e+06
LGF-Leipzig-50-80000-1-bitVector-none,0.895312299602411,0.981980248813647,113,13018
LGF-Leipzig-50-80000-2-bitVector-none,0.93681236990782,0.967172167707404,118,49390
LGF-Leipzig-50-80000-3-bitVector-none,0.919883241758242,0.937019230769231,104,93003
mean,0.531232006296046,0.604448034968364,78.0454545454545,427892.909090909
