instance,gsr,vns,opt,maxTime
LGF-Berlin-100-80000-1-evaluation-none,0.174217857142857,0.227910714285715,500,173476
LGF-Berlin-100-80000-2-evaluation-none,0.233335849056604,0.387901886792453,500,753642
LGF-Berlin-100-80000-3-evaluation-none,0.186234165067179,0.254690978886756,500,429003
LGF-Berlin-150-80000-1-evaluation-none,0.16607299270073,0.25569099756691,500,1e+06
LGF-Berlin-150-80000-2-evaluation-none,0.187173402868318,0.240067796610169,500,1e+06
LGF-Berlin-150-80000-3-evaluation-none,0.221041931385006,0.265959339263024,500,899648
LGF-Berlin-50-80000-1-evaluation-none,0.224115384615385,0.255938461538462,500,25809
LGF-Berlin-50-80000-2-evaluation-none,0.259915789473684,0.289684210526316,500,45018
LGF-Berlin-50-80000-3-evaluation-none,0.284146153846154,0.359915384615385,500,69536
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.626396273737011,0.708647796488714,500,385859
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.722641439623276,0.965467204843592,500,1e+06
LGF-gr48-gen4-80.oplib-4037-evaluation-none,0.891699054170249,0.938019776440241,500,244845
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.856490971625107,0.902308684436801,500,262026
LGF-Leipzig-100-80000-1-evaluation-none,0.683047984644913,0.876560460652591,500,1e+06
LGF-Leipzig-100-80000-2-evaluation-none,0.598604982206406,0.823957295373666,500,1e+06
LGF-Leipzig-100-80000-3-evaluation-none,0.716018691588785,0.900631775700935,500,1e+06
LGF-Leipzig-150-80000-1-evaluation-none,0.421875288683603,0.764750577367205,500,1e+06
LGF-Leipzig-150-80000-2-evaluation-none,0.417883313885648,0.723906651108518,500,1e+06
LGF-Leipzig-150-80000-3-evaluation-none,0.478365038560411,0.765714652956298,500,1e+06
LGF-Leipzig-50-80000-1-evaluation-none,0.899173913043478,0.990760869565218,500,166586
LGF-Leipzig-50-80000-2-evaluation-none,0.927277192982456,0.973487719298246,500,375868
LGF-Leipzig-50-80000-3-evaluation-none,0.910857142857143,0.948071428571429,500,465821
mean,0.503935673352928,0.62818384831312,500,604415.318181818
