instance,gsr,vns
LGF-Berlin-100-80000-1-evaluation-none,0.764412755621719,1
LGF-Berlin-100-80000-2-evaluation-none,0.601533163414207,1
LGF-Berlin-100-80000-3-evaluation-none,0.731216181590728,1
LGF-Berlin-150-80000-1-evaluation-none,0.649506608684068,1
LGF-Berlin-150-80000-2-evaluation-none,0.779668933156648,1
LGF-Berlin-150-80000-3-evaluation-none,0.831111748124791,1
LGF-Berlin-50-80000-1-evaluation-none,0.875661216638615,1
LGF-Berlin-50-80000-2-evaluation-none,0.897238372093023,1
LGF-Berlin-50-80000-3-evaluation-none,0.789480433435209,1
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.883931731447905,1
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.748488851820032,1
LGF-gr48-gen4-80.oplib-4037-evaluation-none,0.950618608015092,1
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.949221686988093,1
LGF-Leipzig-100-80000-1-evaluation-none,0.779236590407455,1
LGF-Leipzig-100-80000-2-evaluation-none,0.726500008638115,1
LGF-Leipzig-100-80000-3-evaluation-none,0.795018242645869,1
LGF-Leipzig-150-80000-1-evaluation-none,0.551650827301087,1
LGF-Leipzig-150-80000-2-evaluation-none,0.577261326782594,1
LGF-Leipzig-150-80000-3-evaluation-none,0.624730161181483,1
LGF-Leipzig-50-80000-1-evaluation-none,0.907558968732858,1
LGF-Leipzig-50-80000-2-evaluation-none,0.952530961202982,1
LGF-Leipzig-50-80000-3-evaluation-none,0.960747381903111,1
mean,0.787605670901167,1
