instance,gsr,vns
LGF-Berlin-100-80000-1-evaluation-none,0.198214285714286,0.228571428571429
LGF-Berlin-100-80000-2-evaluation-none,0.258490566037736,0.388679245283019
LGF-Berlin-100-80000-3-evaluation-none,0.199616122840691,0.255278310940499
LGF-Berlin-150-80000-1-evaluation-none,0.197080291970803,0.25669099756691
LGF-Berlin-150-80000-2-evaluation-none,0.20599739243807,0.242503259452412
LGF-Berlin-150-80000-3-evaluation-none,0.241423125794155,0.269377382465057
LGF-Berlin-50-80000-1-evaluation-none,0.257692307692308,0.257692307692308
LGF-Berlin-50-80000-2-evaluation-none,0.291228070175439,0.291228070175439
LGF-Berlin-50-80000-3-evaluation-none,0.311538461538462,0.361538461538462
LGF-brazil58-gen4-45.oplib-11428-evaluation-none,0.662486563955571,0.711214618416338
LGF-gr120-gen4-85.oplib-5901-evaluation-none,0.848637739656912,0.967877564749411
LGF-gr48-gen4-80.oplib-4037-evaluation-none,0.932932072226999,0.941530524505589
LGF-hk48-gen4-80.oplib-9169-evaluation-none,0.891229578675838,0.904127257093723
LGF-Leipzig-100-80000-1-evaluation-none,0.806142034548944,0.879078694817658
LGF-Leipzig-100-80000-2-evaluation-none,0.706405693950178,0.825622775800712
LGF-Leipzig-100-80000-3-evaluation-none,0.790654205607477,0.902803738317757
LGF-Leipzig-150-80000-1-evaluation-none,0.532332563510393,0.771362586605081
LGF-Leipzig-150-80000-2-evaluation-none,0.50291715285881,0.728121353558926
LGF-Leipzig-150-80000-3-evaluation-none,0.577120822622108,0.769922879177378
LGF-Leipzig-50-80000-1-evaluation-none,0.989130434782609,0.992753623188406
LGF-Leipzig-50-80000-2-evaluation-none,0.968421052631579,0.975438596491228
LGF-Leipzig-50-80000-3-evaluation-none,0.946428571428571,0.95
