"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10-budget",0.199614285714286,0.200800714285714,0.202010714285714,0.237817857142857,0.237569285714286,0.236950714285714,0.176260714285714,0.218592142857143,0.214080714285714,250,"greedy","evaluation","L10","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25-budget",0.100939285714286,0.101535714285714,0.100702142857143,0.108538571428571,0.108505714285714,0.108487142857143,0.0995892857142857,0.0987,0.0964307142857143,250,"greedy","evaluation","L10","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5-budget",0.193728571428571,0.188130714285714,0.193932142857143,0.224176428571428,0.224217857142857,0.224207857142857,0.182604285714286,0.204750714285714,0.20316,250,"greedy","evaluation","L10","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50-budget",0.322457857142857,0.320907857142857,0.321265714285714,0.402737857142857,0.403406428571429,0.40357,0.236432857142857,0.308013571428571,0.291452142857143,250,"greedy","evaluation","L10","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C10-budget",0.157679285714286,0.161028571428571,0.159857142857143,0.185402857142857,0.185429285714286,0.185518571428571,0.142900714285714,0.163447142857143,0.163678571428571,250,"greedy","evaluation","L10","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C25-budget",0.149592142857143,0.151823571428571,0.150592142857143,0.172612142857143,0.172559285714286,0.172598571428572,0.148385714285714,0.149480714285714,0.152109285714286,250,"greedy","evaluation","L10","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C5-budget",0.173665,0.182029285714286,0.182696428571429,0.205774285714286,0.206202142857143,0.206438571428571,0.154077142857143,0.183363571428571,0.190644285714286,250,"greedy","evaluation","L10","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C50-budget",0.0514142857142857,0.0514035714285714,0.0514564285714286,0.0527207142857143,0.0527335714285714,0.052715,0.0519528571428571,0.0490264285714286,0.04905,250,"greedy","evaluation","L10","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10-budget",0.239952142857143,0.238573571428571,0.240642857142857,0.300287857142857,0.300550714285714,0.300445,0.221719285714286,0.255357857142857,0.252085714285714,250,"greedy","evaluation","L25","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25-budget",0.196358571428571,0.190975714285714,0.190040714285714,0.240607142857143,0.241142857142857,0.241107142857143,0.16684,0.193466428571429,0.190862142857143,250,"greedy","evaluation","L25","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5-budget",0.185201428571429,0.188087857142857,0.186982142857143,0.223390714285714,0.224110714285714,0.224324285714286,0.157304285714286,0.199504285714286,0.199613571428571,250,"greedy","evaluation","L25","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50-budget",0.748303571428571,0.750482142857143,0.750402142857143,0.868283571428571,0.872011428571429,0.871947857142857,0.619352142857143,0.668117142857143,0.689318571428571,250,"greedy","evaluation","L25","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C10-budget",0.169864285714286,0.174979285714286,0.179253571428571,0.208787142857143,0.209171428571428,0.209225714285714,0.163215714285714,0.188505,0.191513571428571,250,"greedy","evaluation","L25","relative","C10","Berlin"
