"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10-budget",0.836884828319111,0.842343225779061,0.847135779712409,0.998136726313003,0.99717009764478,0.994614283654186,0.737101693707902,0.917043348940513,0.898083864640378,"greedy","evaluation","L10","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25-budget",0.942098427459575,0.946528995892705,0.940649580524844,0.999103852563444,0.998955184782343,0.998753478257891,0.926292912404719,0.919831738163588,0.893998519901894,"greedy","evaluation","L10","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5-budget",0.863619024541281,0.838731229471729,0.864798887215107,0.999546655421955,0.999739280585161,0.999694265118736,0.812816860205363,0.912638810428632,0.905643113183927,"greedy","evaluation","L10","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50-budget",0.798098023112079,0.794373806309351,0.796573040270172,0.997226395642721,0.998924960143578,0.99922297727569,0.581599757287503,0.766276683094889,0.723668547963689,"greedy","evaluation","L10","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C10-budget",0.852925011375989,0.87315365410135,0.86672576191278,0.998477332990849,0.998751260603045,0.999136800884318,0.770887083065117,0.883151677980586,0.883794408062051,"greedy","evaluation","L10","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C25-budget",0.873423444881548,0.885739704197563,0.876931205092615,0.999136616586897,0.998716103390952,0.998906848469569,0.856972385898462,0.868995278523162,0.884105896541835,"greedy","evaluation","L10","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C5-budget",0.840275318171759,0.88247706388685,0.885183225179374,0.996792042684328,0.998828034957434,0.999950499480997,0.744039703974944,0.887601281116466,0.922960910228225,"greedy","evaluation","L10","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C50-budget",0.982543118750702,0.982545529715763,0.982570970677452,0.999813953488372,1,0.999731266149871,0.989930593191776,0.899014181552635,0.932417005954387,"greedy","evaluation","L10","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10-budget",0.801569583399745,0.801235434537653,0.807355104694983,0.997196176618779,0.998236022999143,0.997908897013855,0.734045459920311,0.855282463199796,0.84666530772235,"greedy","evaluation","L25","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25-budget",0.815160765835292,0.798835443505821,0.791928403413959,0.992596636933781,0.996218480170452,0.995924442080029,0.701694297243296,0.803201888704682,0.792383008209473,"greedy","evaluation","L25","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5-budget",0.825057030574169,0.838379673379705,0.833017248924354,0.995460650252165,0.998774447436286,0.999743335473743,0.700424714645041,0.888478116244986,0.889247385615693,"greedy","evaluation","L25","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50-budget",0.853063669702914,0.855987887468228,0.856447482587027,0.995498395677812,0.999521117078488,0.9993960257808,0.706962915750989,0.758604508243449,0.780441538465299,"greedy","evaluation","L25","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C10-budget",0.811281262275052,0.836453271510498,0.857255376202868,0.997122859054746,0.999044556000186,0.999319386547824,0.777431821765958,0.900484729163167,0.915064926594919,"greedy","evaluation","L25","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C25-budget",0.778274686106887,0.813445294240943,0.805470065382527,0.990791359155021,0.998814081893074,0.997997197492453,0.5264265022925,0.730743348593206,0.682409770573407,"greedy","evaluation","L25","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C5-budget",0.847152245507322,0.852370984772881,0.851228834830879,0.993458587217326,0.996057207863672,0.998532490770526,0.70139814624756,0.874046495535755,0.872538566020227,"greedy","evaluation","L25","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C50-budget",0.944137785490131,0.949970498725129,0.946874787312018,0.996926309423176,0.998480673468463,0.999025200341292,0.892354303543047,0.899734005651541,0.884568366616925,"greedy","evaluation","L25","relative","C50","Berlin"
