"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10-budget",0.830293278096579,0.836975332221628,0.844505463897135,0.996717499425818,0.997509223191722,0.996892231694054,0.756666836828193,0.87362710434609,0.863136415090447,"greedy","evaluation","L10","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25-budget",0.91999011214338,0.924031356994258,0.918025410603075,0.99940094681153,0.998682754581704,0.998774581451343,0.889411360586208,0.895192358631665,0.869058986324799,"greedy","evaluation","L10","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5-budget",0.854812415359858,0.832443019543739,0.858194991352693,0.999713355923806,0.999773178113842,0.999727627965415,0.774205705903814,0.86235034513301,0.85649626987419,"greedy","evaluation","L10","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50-budget",0.788617801302141,0.79066010009141,0.784182001797117,0.996901103252532,0.998534753235255,0.999194915008749,0.617234140724962,0.731708794128625,0.699806588366834,"greedy","evaluation","L10","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C10-budget",0.835115359522854,0.852277320692337,0.8434430305076,0.995926777971134,0.996612181795628,0.99895925886451,0.748551732375345,0.847094632220005,0.84699907795374,"greedy","evaluation","L10","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C25-budget",0.848229405470044,0.857791561502144,0.858137826678941,0.998975944966148,0.998658675924843,0.999176917645413,0.803697245079786,0.831315785315041,0.831092590819305,"greedy","evaluation","L10","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C5-budget",0.82963753749417,0.86161441091773,0.876780238787064,0.997138820498018,0.999263654843787,0.999864147875319,0.749715944066721,0.853418262557024,0.883210890298404,"greedy","evaluation","L10","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L10-relative-C50-budget",0.957574238009282,0.96366298631641,0.961163347728924,0.996958599955057,0.998711719660452,0.998181594083995,0.929808651287222,0.890181781412882,0.897023573678105,"greedy","evaluation","L10","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10-budget",0.79695186393506,0.802317967458577,0.806631889261284,0.995678733888343,0.997761976878499,0.997773231422228,0.70315425427428,0.82264431810013,0.816786342305763,"greedy","evaluation","L25","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25-budget",0.815524980609651,0.816258644155207,0.812134441798708,0.994695150008396,0.996705892311992,0.997294330790358,0.684891884985706,0.773952235410136,0.764221246822095,"greedy","evaluation","L25","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5-budget",0.815294404305766,0.826380056538193,0.830028484286528,0.995435819512158,0.998344146900894,0.998844395547252,0.696689901371485,0.85972531991867,0.843165052259295,"greedy","evaluation","L25","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50-budget",0.814133891466369,0.828417361161537,0.82738969917813,0.996102863942424,0.998877813233569,0.998959818045067,0.622840008208528,0.709421871539071,0.695783453614762,"greedy","evaluation","L25","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C10-budget",0.815152784370358,0.841251208088011,0.852828493467072,0.995394756077549,0.998136985186483,0.998794783320936,0.732620312786013,0.84705535039506,0.851535645336541,"greedy","evaluation","L25","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C25-budget",0.776899070244847,0.803400053589007,0.796893681085315,0.993052134414854,0.998231837053317,0.997265766999843,0.597603690348444,0.736733845391634,0.707098233451353,"greedy","evaluation","L25","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C5-budget",0.831395262680974,0.83864505712258,0.843930957134601,0.994493193571684,0.99635867933911,0.998883265348499,0.714510675521608,0.844538425655712,0.842388007560844,"greedy","evaluation","L25","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L25-relative-C50-budget",0.864985119883171,0.867194220348577,0.855963478765113,0.995616422438112,0.99744802571471,0.997898021578491,0.731815170557318,0.7712685633051,0.753838496167058,"greedy","evaluation","L25","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C10-budget",0.854364219545811,0.868141188215306,0.858511607796378,0.998878334634953,0.9995961556771,0.999669993714236,0.840941750506692,0.888744203369916,0.892715871127433,"greedy","evaluation","L5","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C25-budget",0.839308053833801,0.827376433200823,0.838307053497676,0.996235455612228,0.998546742164926,0.998479884113184,0.774582727532629,0.81183894976249,0.826961720800693,"greedy","evaluation","L5","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C5-budget",0.870759427969579,0.871580860347807,0.856596743020655,0.999204939576784,0.999594265926855,0.999876941997675,0.837902000911887,0.87906647530486,0.85120880194585,"greedy","evaluation","L5","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50-budget",0.864149994680876,0.855983871221397,0.874417351040443,0.996964051074521,0.997170889179137,0.998762559890075,0.845639591030197,0.852561766713526,0.833137956070895,"greedy","evaluation","L5","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C10-budget",0.841762661304326,0.858457475642115,0.845318310808451,0.996603965055477,0.997505583616017,0.999536505879679,0.818956453381163,0.837668196981649,0.851075894923124,"greedy","evaluation","L5","relative","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C25-budget",0.851541296641383,0.857583582489992,0.844118759437134,0.998747308659554,0.999335841634014,0.999025792897136,0.837266783361986,0.858645251765361,0.850822859249583,"greedy","evaluation","L5","relative","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C5-budget",0.867413397326067,0.861853208775602,0.874605620653428,0.999943724370685,0.99996740704591,0.999978383231808,0.878112687162175,0.873378441615279,0.87052841655281,"greedy","evaluation","L5","relative","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L5-relative-C50-budget",0.808469771442915,0.814880266477116,0.810880164082607,0.998951129556972,0.999279116182656,0.999510381004481,0.705255121607329,0.775643837665008,0.769916339801056,"greedy","evaluation","L5","relative","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10-budget",0.780065684636725,0.795672375453928,0.790974886156857,0.988808962135637,0.996545554644989,0.997900099103891,0.608344818604975,0.794768351536415,0.781634051111875,"greedy","evaluation","L50","absolute","C10","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25-budget",0.803970213369285,0.808121077732422,0.801151359727726,0.990288002043063,0.996662130973468,0.994383310342494,0.625265128552002,0.754599748198472,0.722877340729921,"greedy","evaluation","L50","absolute","C25","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5-budget",0.797869033465292,0.824124585158845,0.814632310009299,0.990348323765917,0.995589997610552,0.998950838289745,0.642084926299367,0.811244042588489,0.829705938126123,"greedy","evaluation","L50","absolute","C5","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50-budget",0.782700324343057,0.792522921086646,0.786660162361324,0.987479472856724,0.994878111765803,0.99489157821451,0.56483643092035,0.648668226448796,0.605103889652031,"greedy","evaluation","L50","absolute","C50","Berlin"
"LGF-Berlin-100-80000-1-greedy-evaluation-L50-relative-C10-budget",0.811067846158738,0.838966677725545,0.841225134282009,0.986242844941257,0.99708258964603,0.998253015700585,0.658441186795697,0.83666925215469,0.843586354182254,"greedy","evaluation","L50","relative","C10","Berlin"
