instance,ea,gsr,vns,initialSolution,timeMeasure,instanceSet,dynamicFrequency,dynamicChangeType,dynamicIntensity
LGF-Berlin-100-80000-1-greedy-evaluation-none,0.885768749999999,0.900868749999998,1,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-evaluation-none,0.884904854368932,0.825005825242718,1,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-evaluation-none,0.885593984962406,0.935389473684211,1,greedy,evaluation,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-none,0.977209874055416,0.955045440806045,1,greedy,evaluation,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-none,0.991851769411356,0.936262933657943,1,greedy,evaluation,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-none,0.993482557077625,0.963241826484018,1,greedy,evaluation,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-evaluation-none,0.994626723728008,0.962030622919639,1,greedy,evaluation,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-evaluation-none,0.970847371143388,0.935154054771923,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-evaluation-none,0.98337268418785,0.897901766479965,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-evaluation-none,0.97216560213526,0.87591624948544,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-bitVector-none,0.886815986495566,0.932846715328465,1,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-bitVector-none,0.904984694485521,0.876055611663837,1,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-bitVector-none,0.891386466165415,0.973966917293234,1,greedy,bitVector,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-none,0.983139291723809,0.970065393805582,1,greedy,bitVector,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-none,0.993262624329368,0.952914554183606,1,greedy,bitVector,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-none,0.997064743190233,0.9766627561682,1,greedy,bitVector,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-none,0.994626723728008,0.974474940561103,1,greedy,bitVector,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-bitVector-none,0.978018689219545,0.965187455547966,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-bitVector-none,0.984437174084849,0.912134483246538,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-bitVector-none,0.984280685798976,0.905588958501752,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10,0.922606266577762,0.915324534941443,1,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25,0.91257993584959,0.974235608184893,1,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5,0.912754885459246,0.962471836065865,1,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50,0.897773487730051,0.885461350757527,1,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10,0.906763712057486,0.982263790473203,1,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25,0.900170326304926,0.900366103666909,1,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5,0.905816874231504,0.923093123879197,1,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50,0.930697825929025,0.967134664913724,1,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C10,0.939541341824303,0.954723608013757,1,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C25,0.894251467383311,0.955777947134089,1,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C5,0.892285617236332,0.960420178471091,1,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50,0.915246748814704,0.969514424659036,1,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10,0.899957633102669,0.945110474894404,1,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25,0.869007152169738,0.904626507160592,1,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5,0.889430290016654,0.960523599124581,1,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50,0.879367211832898,0.88327425106335,1,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C10,0.901035420241791,0.824285135838652,1,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C25,0.917133609438625,0.866258675610475,1,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C5,0.912292121619351,0.859326084632652,1,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C50,0.921903431543735,0.912312753873582,1,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C10,0.910646363888259,0.888895186276732,1,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C25,0.91539021941986,0.912355006175026,1,greedy,evaluation,Berlin,L25,absolute,C25
