instance,ea,gsr,vns,initialSolution,timeMeasure,instanceSet,dynamicFrequency,dynamicChangeType,dynamicIntensity
LGF-Berlin-100-80000-1-greedy-evaluation-none,0.872185085470151,0.86190707868385,1,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-evaluation-none,0.866470452682579,0.780952075366394,1,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-evaluation-none,0.871383193327913,0.884935115767922,1,greedy,evaluation,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-none,0.974099644507299,0.941479011885274,1,greedy,evaluation,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-none,0.98837848107019,0.913282184358342,1,greedy,evaluation,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-none,0.992200129394478,0.956134778326708,1,greedy,evaluation,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-evaluation-none,0.992035327558422,0.948019892216072,1,greedy,evaluation,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-evaluation-none,0.968299998161583,0.91872314050672,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-evaluation-none,0.979705449393194,0.880445965279317,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-evaluation-none,0.967654987644427,0.863427962996943,1,greedy,evaluation,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-bitVector-none,0.885479618449916,0.908552295484631,1,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-bitVector-none,0.902878049852113,0.852887136748808,1,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-bitVector-none,0.886613731334229,0.938434236570883,1,greedy,bitVector,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-none,0.983943989082031,0.965736203601915,1,greedy,bitVector,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-none,0.988954638834411,0.945718611196656,1,greedy,bitVector,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-none,0.995874335337621,0.972519824938211,1,greedy,bitVector,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-none,0.992789391921544,0.967814972328209,1,greedy,bitVector,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-bitVector-none,0.976294467766064,0.958838029289753,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-bitVector-none,0.98239797463972,0.905635954472671,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-bitVector-none,0.985502942720542,0.905169692488469,1,greedy,bitVector,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10,0.891359792384446,0.865844855101645,1,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25,0.889785075667644,0.91587982832618,1,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5,0.896086082320826,0.902226834710281,1,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50,0.883445226233015,0.879091163714448,1,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10,0.892354304957751,0.918853307811857,1,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25,0.884748445515198,0.86319951816063,1,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5,0.886529308147815,0.875307635609525,1,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50,0.901303055703727,0.913683354923925,1,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C10,0.903265600989353,0.900082037970111,1,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C25,0.880369227897737,0.910032779891444,1,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C5,0.881565305208238,0.911555063799071,1,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50,0.884430651913045,0.91466333918419,1,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10,0.890791588709356,0.896459422619448,1,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25,0.847977332286858,0.868152461655116,1,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5,0.870730180218292,0.901348675860902,1,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50,0.876522664013801,0.861784175935823,1,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C10,0.877885343606968,0.785790657268538,1,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C25,0.906873683139283,0.80995556125122,1,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C5,0.898982513332716,0.810635924350319,1,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C50,0.896901595518888,0.845572185108113,1,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C10,0.898792955677087,0.8277793649498,1,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C25,0.901726442261322,0.86072814619875,1,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C5,0.905020676062942,0.812601200250457,1,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C50,0.911117291663101,0.861699214404299,1,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C10,0.892734776590572,0.823346758528056,1,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C25,0.905006849461576,0.852224610259591,1,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C5,0.891815676220756,0.79797672338374,1,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C50,0.887093548246269,0.804875745844742,1,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C10,0.887641851207827,0.8085514010557,1,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C25,0.895396463667986,0.786552568842887,1,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C5,0.886003205109795,0.809442437261986,1,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C50,0.878659235386187,0.824316108848623,1,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C10,0.865871457815539,0.912799038785862,1,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C25,0.871629416992304,0.901641847153666,1,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C5,0.880339877569336,0.90158988331258,1,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C50,0.883741277394848,0.889905404128318,1,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C10,0.891766908841516,0.902926587725065,1,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C25,0.889977874970775,0.837362502637326,1,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C5,0.880009910554462,0.893947323732716,1,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C50,0.88799173069453,0.866274269687333,1,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C10,0.870523642476065,0.906016285414992,1,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C25,0.86993243738797,0.906315916085065,1,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C5,0.863189200221593,0.91657870950812,1,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C50,0.869564724198658,0.889551849404611,1,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C10,0.909056883977369,0.917223321168102,1,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C25,0.930846736619148,0.843145317552117,1,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C5,0.884200023566751,0.893602239147434,1,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C50,0.928023032629559,0.900513608498466,1,greedy,evaluation,Berlin,L50,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C10,0.973594514315515,0.941903972126049,1,greedy,evaluation,oplib,L10,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C25,0.96398120511128,0.928568415294285,1,greedy,evaluation,oplib,L10,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C5,0.970590204395782,0.940677025622456,1,greedy,evaluation,oplib,L10,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C50,0.968063966296634,0.932350700589447,1,greedy,evaluation,oplib,L10,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C10,0.964698668894467,0.941020325676498,1,greedy,evaluation,oplib,L25,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C25,0.956907152692867,0.934411774645055,1,greedy,evaluation,oplib,L25,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C5,0.97000299844956,0.930447285102926,1,greedy,evaluation,oplib,L25,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C50,0.955589931294084,0.920780130670534,1,greedy,evaluation,oplib,L25,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C10,0.974812480384585,0.939476251519804,1,greedy,evaluation,oplib,L5,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C25,0.970251285940889,0.935051899997471,1,greedy,evaluation,oplib,L5,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C5,0.972920592410054,0.943063904951696,1,greedy,evaluation,oplib,L5,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C50,0.968370385079221,0.928896304996517,1,greedy,evaluation,oplib,L5,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C10,0.946849728404188,0.903950024677703,1,greedy,evaluation,oplib,L50,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C25,0.955490605512813,0.924867469002676,1,greedy,evaluation,oplib,L50,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C5,0.962592521652108,0.932097979037582,1,greedy,evaluation,oplib,L50,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C50,0.942608646701193,0.917902973691597,1,greedy,evaluation,oplib,L50,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C10,0.985972666708976,0.902419714905334,1,greedy,evaluation,oplib,L10,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C25,0.983799573799238,0.899565864278165,1,greedy,evaluation,oplib,L10,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C5,0.989529186367735,0.914180775966716,1,greedy,evaluation,oplib,L10,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C50,0.980461613142058,0.902320050612521,1,greedy,evaluation,oplib,L10,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C10,0.982494608580809,0.912717854328607,1,greedy,evaluation,oplib,L25,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C25,0.985215657290586,0.915355805895383,1,greedy,evaluation,oplib,L25,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C5,0.984052388031388,0.91885591545231,1,greedy,evaluation,oplib,L25,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C50,0.982308602688828,0.906805681013169,1,greedy,evaluation,oplib,L25,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C10,0.988626484105673,0.912501692156734,1,greedy,evaluation,oplib,L5,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C25,0.986096889752903,0.909150969189109,1,greedy,evaluation,oplib,L5,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C5,0.989395965139572,0.907820612167584,1,greedy,evaluation,oplib,L5,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C50,0.985860206696563,0.912156849532439,1,greedy,evaluation,oplib,L5,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C10,0.984738832329601,0.897928590986892,1,greedy,evaluation,oplib,L50,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C25,0.98051921813642,0.911414417476086,1,greedy,evaluation,oplib,L50,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C5,0.984905093273722,0.912126639604888,1,greedy,evaluation,oplib,L50,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C50,0.974847403134107,0.89604769334007,1,greedy,evaluation,oplib,L50,absolute,C50
