instance,ea,gsr,vns
LGF-Berlin-100-80000-1-bitVector,0.0641624730409776,0.111250898634076,1
LGF-Berlin-100-80000-2-bitVector,0,0.048742546020223,1
LGF-Berlin-100-80000-3-bitVector,0,0.120077017328899,1
LGF-Berlin-150-80000-1-bitVector,0,0,1
LGF-Berlin-150-80000-2-bitVector,0,0,0
LGF-Berlin-150-80000-3-bitVector,1,0.546637744034707,0.921908893709326
LGF-Berlin-50-80000-1-bitVector,0.785458551363261,0.101257688423758,1
LGF-Berlin-50-80000-2-bitVector,0,0.564593735814798,1
LGF-Berlin-50-80000-3-bitVector,0.0996954496596201,0.162755284844142,1
LGF-brazil58-gen4-45.oplib-11428-bitVector,0,0.452575488454707,1
LGF-gr120-gen4-85.oplib-5901-bitVector,0.734361799816345,0.0546556473829201,1
LGF-gr48-gen4-80.oplib-4037-bitVector,0.982777179763186,0.133038312801499,1
LGF-hk48-gen4-80.oplib-9169-bitVector,0.910540090411611,0.255452454595924,1
LGF-Leipzig-100-80000-1-bitVector,0,0.0474131504398389,1
LGF-Leipzig-100-80000-2-bitVector,0.03174412312872,0,1
LGF-Leipzig-100-80000-3-bitVector,0,0,1
LGF-Leipzig-150-80000-1-bitVector,0,0,0
LGF-Leipzig-150-80000-2-bitVector,0,0,0
LGF-Leipzig-150-80000-3-bitVector,0,0,0
LGF-Leipzig-50-80000-1-bitVector,1,0.166435676351907,0.991623023806312
LGF-Leipzig-50-80000-2-bitVector,1,0.195261655566128,0.997335870599429
LGF-Leipzig-50-80000-3-bitVector,0.982153358390223,0.490041164889673,1
mean,0.345040592071543,0.1568267484356,0.81413035400523
