instance,ea,gsr,vns
LGF-Berlin-100-80000-1-evaluation,0.0416811392844737,0.0486279958318861,1
LGF-Berlin-100-80000-2-evaluation,0,0,1
LGF-Berlin-100-80000-3-evaluation,0,0.0501683501683501,1
LGF-Berlin-150-80000-1-evaluation,0,0,1
LGF-Berlin-150-80000-2-evaluation,0,0,1
LGF-Berlin-150-80000-3-evaluation,0.102145045965271,0.00766087844739529,1
LGF-Berlin-50-80000-1-evaluation,0.762162162162162,0.0971171171171171,1
LGF-Berlin-50-80000-2-evaluation,0,0.526507560575697,1
LGF-Berlin-50-80000-3-evaluation,0.0875092114959469,0.146462785556375,1
LGF-brazil58-gen4-45.oplib-11428-evaluation,0,0.040084388185654,1
LGF-gr120-gen4-85.oplib-5901-evaluation,0.932084791109282,0,1
LGF-gr48-gen4-80.oplib-4037-evaluation,0.988391376451078,0.119734660033167,1
LGF-hk48-gen4-80.oplib-9169-evaluation,0.956692269978755,0.190227161300866,1
LGF-Leipzig-100-80000-1-evaluation,0,0,1
LGF-Leipzig-100-80000-2-evaluation,0.0289147577919639,0,1
LGF-Leipzig-100-80000-3-evaluation,0.00929560008262755,0,1
LGF-Leipzig-150-80000-1-evaluation,0,0,1
LGF-Leipzig-150-80000-2-evaluation,0,0,1
LGF-Leipzig-150-80000-3-evaluation,0,0,1
LGF-Leipzig-50-80000-1-evaluation,1,0.158851674641149,1
LGF-Leipzig-50-80000-2-evaluation,1,0.16280193236715,1
LGF-Leipzig-50-80000-3-evaluation,0.991185897435897,0.398076923076923,1
mean,0.313639193261703,0.0884691557864422,1
