instance,ea,gsr,vns
LGF-Berlin-100-80000-1-bitVector,0.926931427899461,0.914853146378396,1
LGF-Berlin-100-80000-2-bitVector,0.994247100542589,0.900794140318791,1
LGF-Berlin-100-80000-3-bitVector,0.904845568804994,0.94533936030157,1
LGF-Berlin-150-80000-1-bitVector,0.949313921569651,0.845138442846524,1
LGF-Berlin-150-80000-2-bitVector,1,0.928726022303279,0.995007040282113
LGF-Berlin-150-80000-3-bitVector,1,0.880563501416648,0.953643952239554
LGF-Berlin-50-80000-1-bitVector,1,0.975720746391682,0.985405298314529
LGF-Berlin-50-80000-2-bitVector,0.910816624473883,0.969115465854908,1
LGF-Berlin-50-80000-3-bitVector,0.98096226097684,0.929878893233347,1
LGF-brazil58-gen4-45.oplib-11428-bitVector,0.99326219182138,0.972217961432703,1
LGF-gr120-gen4-85.oplib-5901-bitVector,1,0.962542090913921,0.994986365866659
LGF-gr48-gen4-80.oplib-4037-bitVector,0.9994960252993,0.988036037487517,1
LGF-hk48-gen4-80.oplib-9169-bitVector,1,0.989405836985773,0.99914541494781
LGF-Leipzig-100-80000-1-bitVector,0.98688121784341,0.905757611081519,1
LGF-Leipzig-100-80000-2-bitVector,0.997414304697247,0.900305376760082,1
LGF-Leipzig-100-80000-3-bitVector,0.996875979228719,0.908749271777297,1
LGF-Leipzig-150-80000-1-bitVector,1,0.827985692225491,0.989018074652505
LGF-Leipzig-150-80000-2-bitVector,0.983138933788862,0.82016463496391,1
LGF-Leipzig-150-80000-3-bitVector,0.993859620147495,0.804108816963224,1
LGF-Leipzig-50-80000-1-bitVector,1,0.990849748254448,0.991720611754549
LGF-Leipzig-50-80000-2-bitVector,1,0.987592597708737,0.997408272173983
LGF-Leipzig-50-80000-3-bitVector,0.99861290562524,0.990059271768567,1
mean,0.982575367396321,0.924450212153106,0.995742501374168
